#separator:tab
#html:true
#notetype column:1
#deck column:2
#tags column:5
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Числові множини	Числові множини включають: <br> - Натуральні числа (ℕ) – {1, 2, 3, ...} <br> - Цілі числа (ℤ) – {..., -2, -1, 0, 1, 2, ...} <br> - Раціональні числа (ℚ) – числа, що можна записати як m/n, де m і n – цілі числа, n ≠ 0 <br> - Ірраціональні числа – числа, які не можна представити у вигляді дробу, наприклад, √2, π <br> - Дійсні числа (ℝ) – об'єднання раціональних і ірраціональних чисел	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Основні властивості дійсних чисел	Основні властивості дійсних чисел: <br> - Комутативність: a + b = b + a, a ⋅ b = b ⋅ a <br> - Асоціативність: (a + b) + c = a + (b + c), (a ⋅ b) ⋅ c = a ⋅ (b ⋅ c) <br> - Дистрибутивність: a ⋅ (b + c) = a ⋅ b + a ⋅ c <br> - Існування нейтральних елементів: 0 – для додавання, 1 – для множення <br> - Існування обернених елементів: для a ≠ 0 існує 1/a, що a ⋅ (1/a) = 1	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Порядок дій у виразах	Порядок виконання операцій: <br> 1) Дужки <br> 2) Степені та корені <br> 3) Множення і ділення (зліва направо) <br> 4) Додавання і віднімання (зліва направо)	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Раціональні та ірраціональні числа	Раціональні числа – це ті, які можна представити у вигляді дробу m/n (m, n – цілі, n ≠ 0). <br> Ірраціональні числа – це нескінченні неперіодичні десяткові дроби, які не можна записати у вигляді m/n, наприклад, π, e, √2	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Модуль числа	Модуль числа a визначається як: <br> |a| = a, якщо a ≥ 0 <br> |a| = -a, якщо a < 0	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Дії з модулями	Властивості модуля: <br> - |a ⋅ b| = |a| ⋅ |b| <br> - |a/b| = |a| / |b| (b ≠ 0) <br> - |a + b| ≤ |a| + |b| (нерівність трикутника)	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Дії над ірраціональними числами	- Додавання ірраціональних чисел не завжди дає ірраціональне число (√2 + (-√2) = 0) <br> - Множення ірраціональних чисел може давати раціональне число (√2 ⋅ √2 = 2) <br> - Приблизні значення ірраціональних чисел використовують у числових обчисленнях	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Що таке дійсні числа?	Числа, які можна представити у вигляді нескінченного десяткового дробу<br><br>Включають:<br>- Раціональні числа (цілі та дробові)<br>- Ірраціональні числа (наприклад √2, π)	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Назвіть основні властивості додавання дійсних чисел	1. Комутативність: a + b = b + a<br>2. Асоціативність: (a + b) + c = a + (b + c)<br>3. Нейтральний елемент: a + 0 = a<br>4. Обернений елемент: a + (-a) = 0	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Які властивості множення дійсних чисел?	1. Комутативність: a × b = b × a<br>2. Асоціативність: (a × b) × c = a × (b × c)<br>3. Дистрибутивність: a(b + c) = ab + ac<br>4. Нейтральний елемент: a × 1 = a<br>5. Обернений елемент: a × (1/a) = 1 (для a ≠ 0)	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Що таке модуль числа?	Відстань від точки на числовій прямій до початку координат<br><br>Формально: |a| = { a, якщо a ≥ 0<br>               { -a, якщо a < 0	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Порядок виконання арифметичних дій	1. Дужки<br>2. Множення/ділення (зліва направо)<br>3. Додавання/віднімання (зліва направо)<br>Приклад: 2 + 3 × 4 = 14 (не 20!)	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Правила округлення чисел	1. Якщо цифра після потрібного розряду ≥5 - округлюємо вверх<br>2. Якщо <5 - залишаємо без змін<br>Приклад: 3.1415 ≈ 3.142 (до тисячних)	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Розв'яжіть: 5 × (3 + 2²) - 7	1. 2² = 4<br>2. 3 + 4 = 7<br>3. 5 × 7 = 35<br>4. 35 - 7 = 28<br>Відповідь: 28	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Що таке зворотні числа?	Два числа, добуток яких дорівнює 1<br>Приклад: 5 та 1/5, -2 та -1/2<br>Формально: a × (1/a) = 1	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Як порівнювати дійсні числа?	1. На числовій прямій: число правіше - більше<br>2. Для від'ємних: -3 > -4<br>3. Для дробів: 1/2 > 1/3<br>4. Для ірраціональних: √2 ≈ 1.414 > 1.41	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Правила дій з модулями	1. |a × b| = |a| × |b|<br>2. |a + b| ≤ |a| + |b| (нерівність трикутника)<br>3. |a| = |-a|<br>4. √(a²) = |a|	алгебра, дійсні_числа, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Що таке дійсні числа?	Дійсні числа — це множина чисел, яка включає всі раціональні та ірраціональні числа.<br>Позначаються символом ℝ.<br>Приклади: -5, 0.75, √2, π.	алгебра, дійсні_числа, основи числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Які числа називаються раціональними?	Раціональні числа — це числа, які можна записати у вигляді дробу a/b, де a і b — цілі числа, а b ≠ 0.<br>Приклади: 1/2, -3, 0.8 (тобто 4/5).	алгебра, дійсні_числа, раціональні_числа числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Які числа називаються ірраціональними?	Ірраціональні числа — це дійсні числа, які не можна записати у вигляді дробу a/b.<br>Вони мають нескінченну, неперіодичну десяткову частину.<br>Приклади: √2, π, e.	алгебра, дійсні_числа, числа_і_вирази, ірраціональні_числа
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Як позначається множина дійсних чисел?	Множина дійсних чисел позначається символом ℝ.	алгебра, дійсні_числа, позначення числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Чим відрізняються додатні та від’ємні дійсні числа?	Додатні дійсні числа більші за 0 (наприклад, 1, 2.5, π).<br>Від’ємні дійсні числа менші за 0 (наприклад, -1, -√3).<br>0 є нейтральним числом.	алгебра, дійсні_числа, класифікація числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Що таке модуль дійсного числа?	Модуль дійсного числа |a| — це його відстань від 0 на числовій прямій.<br>|a| = a, якщо a ≥ 0;<br>|a| = -a, якщо a < 0.<br>Приклад: |-3| = 3, |5| = 5.	алгебра, дійсні_числа, модуль числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Як виконується додавання дійсних чисел?	При додаванні дійсних чисел враховуються знаки:<br>1) Якщо числа одного знаку, додаємо їх модулі та зберігаємо знак.<br>2) Якщо знаки різні, віднімаємо менший модуль від більшого та беремо знак більшого.<br>Приклад: 3 + (-5) = -2.	алгебра, додавання дійсні_числа, дії, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Як виконується віднімання дійсних чисел?	Віднімання дійсних чисел зводиться до додавання протилежного числа: a - b = a + (-b).<br>Приклад: 7 - 3 = 7 + (-3) = 4;<br>2 - (-5) = 2 + 5 = 7.	алгебра, віднімання дійсні_числа, дії, числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Як виконується множення дійсних чисел?	При множенні дійсних чисел:<br>1) Множимо модулі чисел.<br>2) Знак результату: (+) якщо знаки однакові, (-) якщо різні.<br>Приклад: (-2) × 3 = -6;<br> (-4) × (-5) = 20.	алгебра, дійсні_числа, дії, множення числа_і_вирази,
Basic (and reversed card)	НМТ::01-Математика::01-Алгебра::01-Числа і вирази::01-Дійсні числа та дії над ними	Як виконується ділення дійсних чисел?	Ділення дійсних чисел: a ÷ b = a × (1/b), де b ≠ 0.<br>Знак результату визначається як при множенні.<br>Приклад: 6 ÷ (-2) = -3;<br> (-8) ÷ (-4) = 2.	алгебра, дійсні_числа, ділення дії, числа_і_вирази,
